Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Lovetocreate,"I do LOVE the Chosen. It helped me see myself in so many people in the Bible…and gave me biblical entertainment instead of Game of Thrones, which I had become obsessed with. I knew it was based on the Word but LOTS of added in between that was fiction because we don’t know the in between. Just entertainment. But good entertainment without all the sex and cuss words and had led people to actually read the Word for themselves. It’s not all bad. However I get what you’re saying Todd. Thank you for the perspective.",Against,,1,1 reply,8 months ago
Dan Steuer,They have a disclaimer from the first episode that says it’s not word for word with the Bible but the Biblical accuracy is there. Their freedom is in the parts of the Bible where conversations are cut short and it’s things that likely could have happened. I can’t wait to see the scene with Pilate and Jesus where Pilate asks “what is truth?” It frustrates me that the Bible doesn’t state if Jesus ever answered that question!,Against,,"
    0
  ",,8 months ago
Reclaiming the Prophetic Mantle,"Having studied the Gospels, especially Mathew's Gospel from a 1st-century historical and cultural perspective, I initially found The Chosen intriguing and insightful. I could accept the plausibility perspective portrayed by The Chosen but there were some episodes that I drew the line, the chief being the final episode of Season 2. The scene presented Jesus as a ""rock star"" with a stage being built, hand bills being passed out, and women backstage suggesting what apparel Jesus should wear. The Scene is the Sermon on the Mount and Jesus' ""stage"", according to Matthew 5:1, was Jesus sitting down on mountainside. The depiction went far aside from plausibility, especially when the explanation for the stage was attributed to the manner in which Philip was cast as an architect and the state idea was to give Philip an opportunity to contribute to the story. There were other ""stretches"" regarding plausibility, but this just went too far. Perhaps the intent of creating more interest in Jesus and the Gospels is noble, but The Chosen's plausibility creates a deniability. I liked Jesus' ""Get used to being different"" and purchased the T-shirt, but if different distorts the message, then perhaps it is time to reevaluate the premise of plausibility and allow the Scriptures to speak for themselves without interjecting Post-Modern entertainment values.",For,,"
    0
  ",,2 months ago
drblog123,Thank you! Very good video!,For,,"
    0
  ",,3 months ago
Liberty Katz,"A good Bible movie is ""The Gospel of John."" I like that movie because it is word for word.",Drop,,4,2 replies,8 months ago
Ms000anna000,"Thank you Tod I completely agree, me and my husband do not watch this for these same reasons",For,,1,1 reply,8 months ago
Toby Lawler,Caution when considering any interpretation of the Gospel outside of Scripture is always required. I use the same caution when watching The Chosen as I do when watching Wretched.,For,,18,5 replies,8 months ago
Bev in TX,Thanks for your insightful video.,For,,"
    0
  ",,5 days ago
Steven McDowell,"“What then? Only that in every way, whether in pretense or in truth, Christ is proclaimed, and in this I rejoice. Yes, and I will rejoice,”
‭‭Philippians‬ ‭1:18‬ ‭LSB‬‬",Against,,2,1 reply,8 months ago
S D,Thank you for this video.,For,,"
    0
  ",,3 months ago
NonCompliant,️  thanks for exposing this,For,,4,,8 months ago
Mqhele B Moyo,"I've watched all episodes of The Chosen and every time I pray, the image of Jesus that comes to mind is the man that acted as him",Against,,"
    0
  ",3 replies,8 months ago
Shannon,"I definitely feel like it’s in the way you watch it. You have to continually be mindful that those weren’t the actual words of Jesus, unless it’s totally coming from the word of God. You cannot start becoming confused and believing it to be true. I would most certainly pray honestly about whether you should watch or not. To me it has a soap opera feel to it, and I think that’s what has people watching instead of reading their Bible. You have to be really careful there…..Shalom. ️",Against,,"
    0
  ",,8 months ago
Nick,Yes Todd. Thank you.,For,,"
    0
  ",,8 months ago
Aaron David Cullip,"Todd, this video is spot on.  I watched one episode and I was done.  This series to me takes too much liberty with the sanctity of scripture and is not something I chose to consume.",For,,3,,8 months ago
Nosral86,Man I felt like I was the only one that had a problem with this show,For,,4,,8 months ago
Amy Jo,Thank you for putting into words the nagging in my mind watching the Chosen. I love the questions you pose.,For,,3,1 reply,8 months ago
Joe Schmo,"I always thought there was something a little ""off"" when watching previews or hearing about this television work, now I know why I haven't really been led to watch it.",For,,1,,4 months ago
Mamaof8girls,"It was our pastor who loaned us season one.  I found myself strangely down to it.  Which actually put a check in my spirit.  I appreciate the possibilities for evangelism, but there is something there that seems off.  Perhaps it's similar to the left behind series.  A whole generation of Christians were so influenced by those books and movies that I think it profoundly affected the church as a whole.  To the point of creating doctrine like beliefs based on fictional storyline and characters.",For,,1,,8 months ago
